"arc SWCNT 0.2 mgmL 1 wt% DOC tip 20h 10krpm 13h - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
385.00,1.358
385.50,1.354
386.00,1.351
386.50,1.348
387.00,1.345
387.50,1.342
388.00,1.339
388.50,1.336
389.00,1.333
389.50,1.330
390.00,1.327
390.50,1.325
391.00,1.323
391.50,1.321
392.00,1.319
392.50,1.317
393.00,1.315
393.50,1.313
394.00,1.312
394.50,1.310
395.00,1.308
395.50,1.305
396.00,1.303
396.50,1.300
397.00,1.297
397.50,1.294
398.00,1.291
398.50,1.287
399.00,1.283
399.50,1.280
400.00,1.276
400.50,1.272
401.00,1.268
401.50,1.264
402.00,1.260
402.50,1.257
403.00,1.253
403.50,1.250
404.00,1.246
404.50,1.243
405.00,1.240
405.50,1.237
406.00,1.234
406.50,1.231
407.00,1.229
407.50,1.227
408.00,1.225
408.50,1.223
409.00,1.221
409.50,1.219
410.00,1.217
410.50,1.216
411.00,1.214
411.50,1.213
412.00,1.211
412.50,1.210
413.00,1.208
413.50,1.206
414.00,1.205
414.50,1.203
415.00,1.201
415.50,1.200
416.00,1.198
416.50,1.196
417.00,1.193
417.50,1.191
418.00,1.189
418.50,1.186
419.00,1.184
419.50,1.181
420.00,1.178
420.50,1.175
421.00,1.172
421.50,1.169
422.00,1.165
422.50,1.163
423.00,1.160
423.50,1.157
424.00,1.155
424.50,1.152
425.00,1.150
425.50,1.148
426.00,1.146
426.50,1.145
427.00,1.143
427.50,1.142
428.00,1.141
428.50,1.140
429.00,1.139
429.50,1.138
430.00,1.137
430.50,1.137
431.00,1.136
431.50,1.135
432.00,1.134
432.50,1.134
433.00,1.133
433.50,1.132
434.00,1.131
434.50,1.130
435.00,1.128
435.50,1.127
436.00,1.125
436.50,1.124
437.00,1.122
437.50,1.120
438.00,1.117
438.50,1.115
439.00,1.112
439.50,1.110
440.00,1.107
440.50,1.104
441.00,1.101
441.50,1.098
442.00,1.095
442.50,1.092
443.00,1.089
443.50,1.086
444.00,1.083
444.50,1.080
445.00,1.077
445.50,1.074
446.00,1.071
446.50,1.069
447.00,1.067
447.50,1.065
448.00,1.064
448.50,1.062
449.00,1.061
449.50,1.060
450.00,1.059
450.50,1.059
451.00,1.058
451.50,1.058
452.00,1.058
452.50,1.059
453.00,1.059
453.50,1.060
454.00,1.061
454.50,1.062
455.00,1.064
455.50,1.065
456.00,1.066
456.50,1.067
457.00,1.069
457.50,1.070
458.00,1.071
458.50,1.072
459.00,1.073
459.50,1.073
460.00,1.073
460.50,1.073
461.00,1.073
461.50,1.072
462.00,1.071
462.50,1.069
463.00,1.067
463.50,1.065
464.00,1.062
464.50,1.059
465.00,1.056
465.50,1.053
466.00,1.050
466.50,1.046
467.00,1.043
467.50,1.039
468.00,1.036
468.50,1.033
469.00,1.030
469.50,1.027
470.00,1.024
470.50,1.022
471.00,1.020
471.50,1.018
472.00,1.016
472.50,1.014
473.00,1.013
473.50,1.012
474.00,1.012
474.50,1.011
475.00,1.011
475.50,1.011
476.00,1.011
476.50,1.012
477.00,1.012
477.50,1.013
478.00,1.013
478.50,1.014
479.00,1.015
479.50,1.015
480.00,1.016
480.50,1.017
481.00,1.017
481.50,1.018
482.00,1.018
482.50,1.018
483.00,1.018
483.50,1.018
484.00,1.018
484.50,1.018
485.00,1.017
485.50,1.016
486.00,1.015
486.50,1.014
487.00,1.013
487.50,1.011
488.00,1.009
488.50,1.007
489.00,1.005
489.50,1.002
490.00,1.000
490.50,0.997
491.00,0.994
491.50,0.991
492.00,0.988
492.50,0.985
493.00,0.982
493.50,0.979
494.00,0.976
494.50,0.973
495.00,0.970
495.50,0.968
496.00,0.966
496.50,0.963
497.00,0.961
497.50,0.959
498.00,0.957
498.50,0.955
499.00,0.954
499.50,0.952
500.00,0.951
500.50,0.950
501.00,0.949
501.50,0.948
502.00,0.947
502.50,0.946
503.00,0.945
503.50,0.944
504.00,0.943
504.50,0.943
505.00,0.942
505.50,0.942
506.00,0.941
506.50,0.941
507.00,0.940
507.50,0.940
508.00,0.940
508.50,0.939
509.00,0.939
509.50,0.939
510.00,0.939
510.50,0.939
511.00,0.939
511.50,0.939
512.00,0.939
512.50,0.938
513.00,0.938
513.50,0.938
514.00,0.937
514.50,0.937
515.00,0.936
515.50,0.936
516.00,0.935
516.50,0.933
517.00,0.932
517.50,0.931
518.00,0.929
518.50,0.928
519.00,0.926
519.50,0.924
520.00,0.922
520.50,0.920
521.00,0.918
521.50,0.916
522.00,0.913
522.50,0.911
523.00,0.909
523.50,0.907
524.00,0.904
524.50,0.902
525.00,0.899
525.50,0.897
526.00,0.894
526.50,0.892
527.00,0.890
527.50,0.887
528.00,0.885
528.50,0.883
529.00,0.881
529.50,0.879
530.00,0.877
530.50,0.876
531.00,0.874
531.50,0.873
532.00,0.872
532.50,0.870
533.00,0.869
533.50,0.868
534.00,0.867
534.50,0.867
535.00,0.866
535.50,0.866
536.00,0.866
536.50,0.866
537.00,0.866
537.50,0.866
538.00,0.866
538.50,0.866
539.00,0.867
539.50,0.868
540.00,0.868
540.50,0.869
541.00,0.870
541.50,0.871
542.00,0.872
542.50,0.872
543.00,0.873
543.50,0.874
544.00,0.875
544.50,0.875
545.00,0.876
545.50,0.876
546.00,0.876
546.50,0.876
547.00,0.876
547.50,0.876
548.00,0.875
548.50,0.874
549.00,0.873
549.50,0.872
550.00,0.870
550.50,0.869
551.00,0.867
551.50,0.865
552.00,0.863
552.50,0.861
553.00,0.859
553.50,0.856
554.00,0.854
554.50,0.851
555.00,0.849
555.50,0.846
556.00,0.844
556.50,0.841
557.00,0.839
557.50,0.837
558.00,0.834
558.50,0.832
559.00,0.829
559.50,0.827
560.00,0.824
560.50,0.822
561.00,0.820
561.50,0.818
562.00,0.816
562.50,0.814
563.00,0.812
563.50,0.811
564.00,0.809
564.50,0.807
565.00,0.806
565.50,0.805
566.00,0.803
566.50,0.802
567.00,0.801
567.50,0.800
568.00,0.799
568.50,0.799
569.00,0.798
569.50,0.798
570.00,0.797
570.50,0.797
571.00,0.796
571.50,0.796
572.00,0.796
572.50,0.795
573.00,0.795
573.50,0.795
574.00,0.795
574.50,0.795
575.00,0.795
575.50,0.795
576.00,0.795
576.50,0.794
577.00,0.794
577.50,0.794
578.00,0.794
578.50,0.793
579.00,0.793
579.50,0.793
580.00,0.792
580.50,0.792
581.00,0.791
581.50,0.790
582.00,0.790
582.50,0.789
583.00,0.788
583.50,0.787
584.00,0.786
584.50,0.785
585.00,0.784
585.50,0.783
586.00,0.782
586.50,0.781
587.00,0.779
587.50,0.778
588.00,0.777
588.50,0.776
589.00,0.775
589.50,0.774
590.00,0.773
590.50,0.771
591.00,0.770
591.50,0.769
592.00,0.768
592.50,0.767
593.00,0.765
593.50,0.764
594.00,0.763
594.50,0.762
595.00,0.761
595.50,0.760
596.00,0.760
596.50,0.759
597.00,0.758
597.50,0.757
598.00,0.756
598.50,0.756
599.00,0.755
599.50,0.754
600.00,0.754
600.50,0.753
601.00,0.753
601.50,0.753
602.00,0.752
602.50,0.752
603.00,0.752
603.50,0.751
604.00,0.751
604.50,0.751
605.00,0.751
605.50,0.751
606.00,0.751
606.50,0.751
607.00,0.751
607.50,0.751
608.00,0.751
608.50,0.750
609.00,0.751
609.50,0.751
610.00,0.751
610.50,0.751
611.00,0.751
611.50,0.751
612.00,0.751
612.50,0.751
613.00,0.751
613.50,0.751
614.00,0.751
614.50,0.751
615.00,0.751
615.50,0.752
616.00,0.752
616.50,0.752
617.00,0.752
617.50,0.752
618.00,0.752
618.50,0.752
619.00,0.752
619.50,0.752
620.00,0.752
620.50,0.752
621.00,0.752
621.50,0.752
622.00,0.752
622.50,0.752
623.00,0.752
623.50,0.752
624.00,0.752
624.50,0.752
625.00,0.752
625.50,0.752
626.00,0.752
626.50,0.752
627.00,0.752
627.50,0.752
628.00,0.752
628.50,0.753
629.00,0.753
629.50,0.753
630.00,0.753
630.50,0.754
631.00,0.754
631.50,0.754
632.00,0.754
632.50,0.754
633.00,0.755
633.50,0.755
634.00,0.755
634.50,0.756
635.00,0.756
635.50,0.757
636.00,0.757
636.50,0.757
637.00,0.757
637.50,0.758
638.00,0.758
638.50,0.759
639.00,0.759
639.50,0.759
640.00,0.759
640.50,0.760
641.00,0.760
641.50,0.760
642.00,0.760
642.50,0.761
643.00,0.761
643.50,0.761
644.00,0.761
644.50,0.761
645.00,0.761
645.50,0.761
646.00,0.761
646.50,0.761
647.00,0.760
647.50,0.760
648.00,0.760
648.50,0.760
649.00,0.760
649.50,0.760
650.00,0.760
650.50,0.760
651.00,0.759
651.50,0.759
652.00,0.759
652.50,0.759
653.00,0.759
653.50,0.759
654.00,0.758
654.50,0.758
655.00,0.758
655.50,0.758
656.00,0.758
656.50,0.758
657.00,0.758
657.50,0.757
658.00,0.757
658.50,0.757
659.00,0.757
659.50,0.757
660.00,0.757
660.50,0.757
661.00,0.758
661.50,0.758
662.00,0.758
662.50,0.758
663.00,0.758
663.50,0.758
664.00,0.758
664.50,0.758
665.00,0.759
665.50,0.759
666.00,0.759
666.50,0.759
667.00,0.759
667.50,0.759
