"arc SWCNT 0.2 mgmL 1 wt% DOC tip 20h 10krpm 13h - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
1045.50,0.695
1046.00,0.694
1046.50,0.693
1047.00,0.692
1047.50,0.690
1048.00,0.689
1048.50,0.688
1049.00,0.687
1049.50,0.686
1050.00,0.685
1050.50,0.684
1051.00,0.683
1051.50,0.682
1052.00,0.681
1052.50,0.680
1053.00,0.679
1053.50,0.678
1054.00,0.677
1054.50,0.676
1055.00,0.675
1055.50,0.674
1056.00,0.673
1056.50,0.673
1057.00,0.672
1057.50,0.671
1058.00,0.670
1058.50,0.669
1059.00,0.668
1059.50,0.667
1060.00,0.666
1060.50,0.665
1061.00,0.664
1061.50,0.663
1062.00,0.662
1062.50,0.661
1063.00,0.660
1063.50,0.659
1064.00,0.658
1064.50,0.657
1065.00,0.656
1065.50,0.655
1066.00,0.654
1066.50,0.653
1067.00,0.652
1067.50,0.651
1068.00,0.650
1068.50,0.648
1069.00,0.647
1069.50,0.646
1070.00,0.645
1070.50,0.644
1071.00,0.643
1071.50,0.642
1072.00,0.640
1072.50,0.639
1073.00,0.638
1073.50,0.637
1074.00,0.636
1074.50,0.635
1075.00,0.633
1075.50,0.632
1076.00,0.631
1076.50,0.629
1077.00,0.628
1077.50,0.627
1078.00,0.626
1078.50,0.624
1079.00,0.623
1079.50,0.622
1080.00,0.620
1080.50,0.619
1081.00,0.617
1081.50,0.616
1082.00,0.615
1082.50,0.613
1083.00,0.612
1083.50,0.610
1084.00,0.609
1084.50,0.607
1085.00,0.605
1085.50,0.604
1086.00,0.603
1086.50,0.601
1087.00,0.600
1087.50,0.598
1088.00,0.597
1088.50,0.595
1089.00,0.594
1089.50,0.593
1090.00,0.591
1090.50,0.590
1091.00,0.588
1091.50,0.587
1092.00,0.585
1092.50,0.584
1093.00,0.582
1093.50,0.581
1094.00,0.579
1094.50,0.578
1095.00,0.576
1095.50,0.575
1096.00,0.573
1096.50,0.572
1097.00,0.570
1097.50,0.569
1098.00,0.567
1098.50,0.566
1099.00,0.564
1099.50,0.563
1100.00,0.562
1100.50,0.560
1101.00,0.559
1101.50,0.557
1102.00,0.556
1102.50,0.555
1103.00,0.553
1103.50,0.552
1104.00,0.550
1104.50,0.549
1105.00,0.548
1105.50,0.546
1106.00,0.545
1106.50,0.544
1107.00,0.542
1107.50,0.541
1108.00,0.540
1108.50,0.538
1109.00,0.537
1109.50,0.536
1110.00,0.535
1110.50,0.533
1111.00,0.532
1111.50,0.531
1112.00,0.530
1112.50,0.528
1113.00,0.527
1113.50,0.526
1114.00,0.525
1114.50,0.524
1115.00,0.522
1115.50,0.521
1116.00,0.520
1116.50,0.519
1117.00,0.518
1117.50,0.517
1118.00,0.516
1118.50,0.515
1119.00,0.514
1119.50,0.513
1120.00,0.511
1120.50,0.510
1121.00,0.509
1121.50,0.508
1122.00,0.507
1122.50,0.507
1123.00,0.506
1123.50,0.505
1124.00,0.504
1124.50,0.503
1125.00,0.502
1125.50,0.501
1126.00,0.500
1126.50,0.499
1127.00,0.498
1127.50,0.497
1128.00,0.496
1128.50,0.495
1129.00,0.494
1129.50,0.494
1130.00,0.493
1130.50,0.492
1131.00,0.491
1131.50,0.490
1132.00,0.489
1132.50,0.488
1133.00,0.488
1133.50,0.487
1134.00,0.486
1134.50,0.485
1135.00,0.485
1135.50,0.484
1136.00,0.483
1136.50,0.483
1137.00,0.482
1137.50,0.481
1138.00,0.481
1138.50,0.480
1139.00,0.479
1139.50,0.479
1140.00,0.478
1140.50,0.478
1141.00,0.477
1141.50,0.476
1142.00,0.476
1142.50,0.475
1143.00,0.474
1143.50,0.474
1144.00,0.473
1144.50,0.473
1145.00,0.472
1145.50,0.472
1146.00,0.471
1146.50,0.471
1147.00,0.470
1147.50,0.469
1148.00,0.469
1148.50,0.468
1149.00,0.467
1149.50,0.467
1150.00,0.466
1150.50,0.466
1151.00,0.465
1151.50,0.464
1152.00,0.463
1152.50,0.463
1153.00,0.462
1153.50,0.461
1154.00,0.460
1154.50,0.459
1155.00,0.459
1155.50,0.458
1156.00,0.457
1156.50,0.456
1157.00,0.455
1157.50,0.454
1158.00,0.453
1158.50,0.452
1159.00,0.451
1159.50,0.450
1160.00,0.449
1160.50,0.448
1161.00,0.447
1161.50,0.446
1162.00,0.445
1162.50,0.444
1163.00,0.443
1163.50,0.442
1164.00,0.441
1164.50,0.440
1165.00,0.439
1165.50,0.438
1166.00,0.437
1166.50,0.436
1167.00,0.435
1167.50,0.434
1168.00,0.433
1168.50,0.432
1169.00,0.431
1169.50,0.430
1170.00,0.429
1170.50,0.428
1171.00,0.427
1171.50,0.426
1172.00,0.425
1172.50,0.425
1173.00,0.424
1173.50,0.423
1174.00,0.422
1174.50,0.421
1175.00,0.420
1175.50,0.419
1176.00,0.418
1176.50,0.417
1177.00,0.416
1177.50,0.416
1178.00,0.415
1178.50,0.414
1179.00,0.413
1179.50,0.412
1180.00,0.412
1180.50,0.411
1181.00,0.410
1181.50,0.409
1182.00,0.408
1182.50,0.408
1183.00,0.407
1183.50,0.406
1184.00,0.405
1184.50,0.404
1185.00,0.404
1185.50,0.403
1186.00,0.402
1186.50,0.401
1187.00,0.400
1187.50,0.400
1188.00,0.399
1188.50,0.398
1189.00,0.398
1189.50,0.397
1190.00,0.396
1190.50,0.395
1191.00,0.395
1191.50,0.394
1192.00,0.393
1192.50,0.393
1193.00,0.392
1193.50,0.391
1194.00,0.391
1194.50,0.390
1195.00,0.390
1195.50,0.389
1196.00,0.388
1196.50,0.388
1197.00,0.387
1197.50,0.386
1198.00,0.386
1198.50,0.385
1199.00,0.384
1199.50,0.384
1200.00,0.383
1200.50,0.383
1201.00,0.382
1201.50,0.382
1202.00,0.381
1202.50,0.380
1203.00,0.380
1203.50,0.379
1204.00,0.379
1204.50,0.378
1205.00,0.378
1205.50,0.377
1206.00,0.377
1206.50,0.376
1207.00,0.376
1207.50,0.375
1208.00,0.375
1208.50,0.374
1209.00,0.374
1209.50,0.373
1210.00,0.373
1210.50,0.372
1211.00,0.372
1211.50,0.371
1212.00,0.371
1212.50,0.370
1213.00,0.370
1213.50,0.369
1214.00,0.369
1214.50,0.368
1215.00,0.368
1215.50,0.368
1216.00,0.367
1216.50,0.367
1217.00,0.366
1217.50,0.366
1218.00,0.366
1218.50,0.365
1219.00,0.365
1219.50,0.365
1220.00,0.364
1220.50,0.364
1221.00,0.363
1221.50,0.363
1222.00,0.363
1222.50,0.362
1223.00,0.362
1223.50,0.362
1224.00,0.361
1224.50,0.361
1225.00,0.361
1225.50,0.361
1226.00,0.360
1226.50,0.360
1227.00,0.360
1227.50,0.359
1228.00,0.359
1228.50,0.359
1229.00,0.359
1229.50,0.358
1230.00,0.358
1230.50,0.358
1231.00,0.358
1231.50,0.357
1232.00,0.357
1232.50,0.357
1233.00,0.357
1233.50,0.357
1234.00,0.356
1234.50,0.356
1235.00,0.356
1235.50,0.356
1236.00,0.356
1236.50,0.355
1237.00,0.355
1237.50,0.355
1238.00,0.355
1238.50,0.355
1239.00,0.355
1239.50,0.354
1240.00,0.354
1240.50,0.354
1241.00,0.354
1241.50,0.354
1242.00,0.354
1242.50,0.354
1243.00,0.353
1243.50,0.353
1244.00,0.353
1244.50,0.353
1245.00,0.353
1245.50,0.353
1246.00,0.353
1246.50,0.353
1247.00,0.353
1247.50,0.352
1248.00,0.352
1248.50,0.352
1249.00,0.352
1249.50,0.352
1250.00,0.352
1250.50,0.352
1251.00,0.352
1251.50,0.352
1252.00,0.352
1252.50,0.352
1253.00,0.352
1253.50,0.352
1254.00,0.352
1254.50,0.352
1255.00,0.352
1255.50,0.352
1256.00,0.352
1256.50,0.352
1257.00,0.352
1257.50,0.352
1258.00,0.352
1258.50,0.352
1259.00,0.352
1259.50,0.352
1260.00,0.352
1260.50,0.352
1261.00,0.352
1261.50,0.352
1262.00,0.352
1262.50,0.352
1263.00,0.352
1263.50,0.352
1264.00,0.352
1264.50,0.352
1265.00,0.352
1265.50,0.352
1266.00,0.352
1266.50,0.352
1267.00,0.352
1267.50,0.352
1268.00,0.352
1268.50,0.352
1269.00,0.352
1269.50,0.352
1270.00,0.352
1270.50,0.353
1271.00,0.353
1271.50,0.353
1272.00,0.353
1272.50,0.353
1273.00,0.353
1273.50,0.353
1274.00,0.353
1274.50,0.353
1275.00,0.353
1275.50,0.353
1276.00,0.353
1276.50,0.354
1277.00,0.354
1277.50,0.354
1278.00,0.354
1278.50,0.354
1279.00,0.354
1279.50,0.354
1280.00,0.354
1280.50,0.354
1281.00,0.354
1281.50,0.354
1282.00,0.355
1282.50,0.355
1283.00,0.355
1283.50,0.355
1284.00,0.355
1284.50,0.355
1285.00,0.355
1285.50,0.355
1286.00,0.355
1286.50,0.356
1287.00,0.356
1287.50,0.356
1288.00,0.356
1288.50,0.356
1289.00,0.356
1289.50,0.356
1290.00,0.356
1290.50,0.356
1291.00,0.357
1291.50,0.357
1292.00,0.357
1292.50,0.357
1293.00,0.357
1293.50,0.357
1294.00,0.357
1294.50,0.358
1295.00,0.358
1295.50,0.358
1296.00,0.358
1296.50,0.358
1297.00,0.358
1297.50,0.358
1298.00,0.359
1298.50,0.359
1299.00,0.359
1299.50,0.359
1300.00,0.359
1300.50,0.359
1301.00,0.360
1301.50,0.360
1302.00,0.360
1302.50,0.360
1303.00,0.360
1303.50,0.360
1304.00,0.361
1304.50,0.361
1305.00,0.361
1305.50,0.361
1306.00,0.361
1306.50,0.362
1307.00,0.362
1307.50,0.362
1308.00,0.362
1308.50,0.363
1309.00,0.363
1309.50,0.363
1310.00,0.363
1310.50,0.363
1311.00,0.364
1311.50,0.364
1312.00,0.364
1312.50,0.364
1313.00,0.365
1313.50,0.365
1314.00,0.365
1314.50,0.365
1315.00,0.366
1315.50,0.366
1316.00,0.366
1316.50,0.366
1317.00,0.367
1317.50,0.367
1318.00,0.367
1318.50,0.368
1319.00,0.368
1319.50,0.368
1320.00,0.369
1320.50,0.369
1321.00,0.369
1321.50,0.370
1322.00,0.370
1322.50,0.370
1323.00,0.371
1323.50,0.371
1324.00,0.371
1324.50,0.372
1325.00,0.372
1325.50,0.373
1326.00,0.373
1326.50,0.373
1327.00,0.374
1327.50,0.374
1328.00,0.374
1328.50,0.375
1329.00,0.375
1329.50,0.376
1330.00,0.376
1330.50,0.376
1331.00,0.377
1331.50,0.377
1332.00,0.377
1332.50,0.378
1333.00,0.378
1333.50,0.379
1334.00,0.379
1334.50,0.379
1335.00,0.380
1335.50,0.380
1336.00,0.381
1336.50,0.381
1337.00,0.382
1337.50,0.382
1338.00,0.382
1338.50,0.383
1339.00,0.383
1339.50,0.384
1340.00,0.384
1340.50,0.385
1341.00,0.385
1341.50,0.386
1342.00,0.386
1342.50,0.387
1343.00,0.387
1343.50,0.388
1344.00,0.388
1344.50,0.389
1345.00,0.389
1345.50,0.390
1346.00,0.390
1346.50,0.391
1347.00,0.391
1347.50,0.392
1348.00,0.392
1348.50,0.393
1349.00,0.394
1349.50,0.394
1350.00,0.395
1350.50,0.395
1351.00,0.396
1351.50,0.397
1352.00,0.397
1352.50,0.398
1353.00,0.399
1353.50,0.399
1354.00,0.400
1354.50,0.401
1355.00,0.401
1355.50,0.402
1356.00,0.402
1356.50,0.403
1357.00,0.404
1357.50,0.405
1358.00,0.405
1358.50,0.406
1359.00,0.407
1359.50,0.408
1360.00,0.408
1360.50,0.409
1361.00,0.410
1361.50,0.410
1362.00,0.411
1362.50,0.412
1363.00,0.413
1363.50,0.414
1364.00,0.415
1364.50,0.416
1365.00,0.416
1365.50,0.417
1366.00,0.418
1366.50,0.419
1367.00,0.420
1367.50,0.421
1368.00,0.422
1368.50,0.423
1369.00,0.423
1369.50,0.425
1370.00,0.425
1370.50,0.426
1371.00,0.427
1371.50,0.428
1372.00,0.429
1372.50,0.430
1373.00,0.432
1373.50,0.433
1374.00,0.433
1374.50,0.434
1375.00,0.435
1375.50,0.435
1376.00,0.436
1376.50,0.436
1377.00,0.437
1377.50,0.437
1378.00,0.437
1378.50,0.438
1379.00,0.439
1379.50,0.439
1380.00,0.438
1380.50,0.437
1381.00,0.437
1381.50,0.437
1382.00,0.435
1382.50,0.434
1383.00,0.434
1383.50,0.434
1384.00,0.434
1384.50,0.433
1385.00,0.432
1385.50,0.430
1386.00,0.430
1386.50,0.432
1387.00,0.432
1387.50,0.431
1388.00,0.428
1388.50,0.428
1389.00,0.429
1389.50,0.430
1390.00,0.429
1390.50,0.429
1391.00,0.431
1391.50,0.433
1392.00,0.433
1392.50,0.434
1393.00,0.434
1393.50,0.434
1394.00,0.431
1394.50,0.428
1395.00,0.429
1395.50,0.428
1396.00,0.430
1396.50,0.431
1397.00,0.434
1397.50,0.431
1398.00,0.431
1398.50,0.429
1399.00,0.437
1399.50,0.437
1400.00,0.439
